epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.85769,1.92549,9.14471,2.30656,0.25194,0.05833,0.04755,0.02319,1.94852,12.0359,2.4071,0.00011,0.00011,0.08911
2,7.54322,1.58042,2.94448,1.92574,0.58056,0.17136,0.0868,0.03654,2.46067,10.2764,4.1102,0.00022241,0.00022241,0.0772224
3,10.0159,1.48326,2.40927,1.83992,0.53959,0.33056,0.0718,0.02968,2.47962,19.5071,3.88578,0.0003269,0.0003269,0.0653269
4,15.815,1.49292,2.3218,1.81588,0.5735,0.19722,0.08152,0.03499,2.13042,13.3522,3.41624,0.00042347,0.00042347,0.0534235
5,18.3936,1.49767,2.19758,1.87558,0.27062,0.22538,0.07354,0.03073,2.29204,5.44754,3.59662,0.00051212,0.00051212,0.0415121
6,21.0471,1.52305,2.14777,1.87589,0.60222,0.12261,0.15276,0.06957,2.29863,3.6974,3.39631,0.00059285,0.00059285,0.0295929
7,23.5959,1.52283,2.1266,1.88806,0.5358,0.19167,0.19434,0.07224,2.05259,4.85827,3.09709,0.00066566,0.00066566,0.0176657
8,26.1156,1.45445,2.07453,1.84352,0.5735,0.23806,0.12253,0.04528,1.96994,6.50435,3.19012,0.00073055,0.00073055,0.00573055
9,28.6153,1.45668,1.97479,1.85457,0.58435,0.20483,0.16348,0.07722,2.04389,4.28965,3.09101,0.000736,0.000736,0.000736
10,31.1513,1.57176,1.99341,1.91857,0.52446,0.20733,0.12031,0.05289,2.19737,6.83982,3.17715,0.000703,0.000703,0.000703
11,33.7675,1.48462,1.88939,1.85286,0.39379,0.27005,0.2643,0.12079,2.10644,3.4408,3.09716,0.00067,0.00067,0.00067
12,36.5239,1.43784,1.79883,1.83869,0.35688,0.3947,0.27499,0.09721,2.10032,4.31523,2.92328,0.000637,0.000637,0.000637
13,39.3116,1.34991,1.65103,1.71355,0.472,0.43898,0.40911,0.11462,1.94839,3.19639,2.60538,0.000604,0.000604,0.000604
14,42.0364,1.32057,1.63675,1.69423,0.62425,0.3064,0.29983,0.12505,1.90995,3.17834,2.56718,0.000571,0.000571,0.000571
15,44.9403,1.42827,1.6622,1.7731,0.65279,0.25551,0.45316,0.14905,2.03353,2.78305,2.63034,0.000538,0.000538,0.000538
16,50.6063,1.4361,1.63655,1.76709,0.76063,0.2628,0.48025,0.15065,2.04198,2.79047,2.77935,0.000505,0.000505,0.000505
17,53.2847,1.40425,1.64222,1.75525,0.41128,0.61997,0.48606,0.18723,1.81152,2.53761,2.67212,0.000472,0.000472,0.000472
18,55.8305,1.3025,1.49416,1.71644,0.73196,0.28822,0.39843,0.19945,1.84323,2.37853,2.74548,0.000439,0.000439,0.000439
19,58.5013,1.30055,1.49333,1.68836,0.78037,0.31774,0.4522,0.23275,1.78274,1.70138,2.52202,0.000406,0.000406,0.000406
20,61.0971,1.24804,1.5136,1.67372,0.46113,0.64909,0.42426,0.19893,1.8432,1.80895,2.55352,0.000373,0.000373,0.000373
21,64.5976,1.32294,1.58278,1.92411,0.5502,0.48733,0.42989,0.23987,1.86521,1.9889,2.64695,0.00034,0.00034,0.00034
22,67.276,1.17113,1.3912,1.82937,0.47048,0.41305,0.40291,0.20987,1.99781,1.83246,2.80215,0.000307,0.000307,0.000307
23,69.8145,1.15983,1.15378,1.75669,0.8199,0.39382,0.43434,0.23408,1.93105,1.64438,2.54382,0.000274,0.000274,0.000274
24,72.6202,1.1575,1.1469,1.76621,0.71141,0.39477,0.44482,0.22819,1.90013,1.68007,2.50693,0.000241,0.000241,0.000241
25,75.1973,1.14096,1.17138,1.72937,0.67629,0.41376,0.44193,0.2308,1.98568,1.67119,2.61656,0.000208,0.000208,0.000208
26,77.8102,1.0961,1.09839,1.70443,0.73238,0.37572,0.43234,0.22234,1.96473,1.65023,2.64456,0.000175,0.000175,0.000175
27,80.4426,1.10767,1.07331,1.69868,0.67934,0.422,0.45524,0.23135,1.8914,1.62268,2.53294,0.000142,0.000142,0.000142
28,86.1571,0.99304,0.97907,1.56733,0.72925,0.40304,0.47448,0.24052,1.79315,1.62364,2.41542,0.000109,0.000109,0.000109
29,88.7728,1.06231,0.99143,1.67947,0.77798,0.39858,0.46346,0.24559,1.72999,1.58509,2.35062,7.6e-05,7.6e-05,7.6e-05
30,91.3942,0.98512,0.91893,1.60056,0.78034,0.37459,0.48484,0.24809,1.71294,1.57993,2.32568,4.3e-05,4.3e-05,4.3e-05
