epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.3323,1.5401,4.16157,2.0161,0.59707,0.07079,0.03111,0.00834,2.48573,15.0425,3.12271,0.00011,0.00011,0.08911
2,55.2904,1.72017,2.86508,2.05922,0.75633,0.07145,0.07574,0.03301,2.52155,10.7504,3.75202,0.000229944,0.000229944,0.0772299
3,73.8005,1.60166,2.49921,1.9806,0.37059,0.14602,0.06926,0.02718,2.61217,9.81173,4.94211,0.000349658,0.000349658,0.0653497
4,95.2311,1.72296,2.57174,1.97225,0.18143,0.18511,0.01744,0.00455,2.67762,7.90625,4.88291,0.000468967,0.000468967,0.053469
5,120.704,1.66201,2.30544,1.94581,0.66667,0.00694,0.01263,0.0035,2.77421,25.5721,5.03254,0.000587697,0.000587697,0.0415877
6,151.507,1.70717,2.38394,2.00704,0.16974,0.04205,0.0003,5e-05,3.5254,inf,14.3384,0.000705673,0.000705673,0.0297057
7,174.773,1.67738,2.39723,2.004,0,0,0,0,5.18951,60.1472,36.927,0.000822723,0.000822723,0.0178227
8,200.851,1.78684,2.48827,2.07522,0.1748,0.00694,0.00046,5e-05,4.52743,6.60261,12.9102,0.000938675,0.000938675,0.00593867
9,234.515,1.73044,2.33108,1.97801,0.21973,0.02993,0.01017,0.00473,2.96944,9.18632,5.72029,0.000984449,0.000984449,0.000984449
10,271.923,1.70541,2.34341,2.01652,0.875,0.00694,0.0035,0.00129,3.2435,15.217,8.27537,0.000980345,0.000980345,0.000980345
11,304.438,1.72972,2.31749,1.97068,0.00029,0.00694,0.0002,0.0001,3.76957,7.55615,8.74433,0.000975773,0.000975773,0.000975773
12,331.272,1.67811,2.31067,1.91602,0.34044,0.00694,0.00044,0.0002,nan,nan,nan,0.000970736,0.000970736,0.000970736
13,352.875,1.56761,2.15389,1.87168,0.33443,0.01269,5e-05,3e-05,nan,nan,nan,0.000965239,0.000965239,0.000965239
14,381.915,1.68265,2.26656,1.98342,0.03242,0.03908,0.00486,0.00119,nan,nan,nan,0.000959289,0.000959289,0.000959289
15,406.585,1.55735,2.18523,1.89484,0.40694,0.04722,0.02423,0.00869,2.96675,5.32281,4.1837,0.000952889,0.000952889,0.000952889
16,434.824,1.60235,2.21967,1.98342,0.56772,0.09444,0.04884,0.01732,2.35399,4.05803,3.56694,0.000946048,0.000946048,0.000946048
17,455.604,1.63306,2.32385,1.95205,0.59185,0.10339,0.05221,0.01611,2.70846,4.18417,3.79556,0.000938772,0.000938772,0.000938772
